RecordID;RecordNumber;Journal;Year;Name of main author;Number of co-authors;Number of citations;Years of study;Number of years;Country of study;Spatial scale;Country of lead author (institution);Species / taxa;Taxa group1;Biological organisation;Scope;Study design;Clearly stated hypothesis;Test of existing hypothesis;Test multiple competing hypotheses;Testable predictions ;Generality: taxonomy;Generality: Environmental gradients;Ecological question;Extractor;Reference
157;476;AnimCons;2010;Martin;4;14;2007-2008;2;Spain;Landscape;Spain;"Pterocles alchata; Tetrax tetrax";Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;1;1;"We studied the
habitat use of pin-tailed sandgrouses Pterocles alchata and their association with
another vulnerable species, the little bustard Tetrax tetrax in agrarian pseudosteppes
of central Spain using radio-tracking";DB;Martin, C.A., Casas, F., Mougeot, F., Garcia, J.T. & Vinuela, J. (2010) Positive interactions between vulnerable species in agrarian pseudo-steppes: habitat use by pin-tailed sandgrouse depends on its association with the little bustard. Animal Conservation, 13, 383-389.
32;542;AnimCons;2009;Dickens;3;9;2006-2007;2;USA;Local;USA;Alectoris chukar;Vertebrates;Population;Ecological processes;Quasi experimental;1;0;0;0;0;1;"Our objective was to assess and distinguish between the effects of capture, handling and translocation to a novel location on the postrelease
behavior of chukar. Across two field seasons, 2006
and 2007, we assigned birds to three groups: (1) Trap/ Release, animals trapped at their home site and immediately released to assess the effects of one-time handling; (2) Captivity/Return, animals captured and brought into captivity for 10 days and returned to their home site to assess the effects of handling, transport and captivity; (3) Captivity/ Translocate, animals that underwent the same process as the previous group but were released at a new site to assess the overall effects of ranslocation procedures. We recaptured individuals post-release at five different man-made water sources. Here we report the propensity for translocated individuals to disperse and return to their original site of capture (the ‘home site’) or remain at the release site depending on translocated distance, differences in rainfall between seasons and water source type.";EBN;Dickens, M.J., Delehanty, D.J., Reed, J.M. & Romero, L.M. (2009) What happens to translocated game birds that 'disappear'? Animal Conservation, 12, 418-425.
151;567;AnimCons;2009;Letnic;2;65;2007;1;Australia;Landscape;Australia;Notomys fuscus, Canis lupus dingo;Vertebrates;Population;Ecological processes;Quasi experimental;3;1;0;1;2;2;"In this study, we used an endangered rodent, the dusky
hopping mouse Notomys fuscus, as a model species to
investigate the relative role of dingoes, rainfall and purported
threatening processes in determining the abundance of Australian
rodents";DB;Letnic, M., Crowther, M.S. & Koch, F. (2009) Does a top-predator provide an endangered rodent with refuge from an invasive mesopredator? Animal Conservation, 12, 302-312.
152;568;AnimCons;2009;Magle;1;12;2002;1;USA;Landscape;USA;Cynomys ludovicianus;Vertebrates;Population;Ecological processes;Non experimental;3;1;0;1;1;2;"The goal of our study was to evaluate which factors most
strongly influence the distribution of a highly interactive
species, the black-tailed prairie dog, along a gradient of
urbanization in shortgrass prairie fragments in the rapidly
developing landscape of the Colorado Front Range";DB;Magle, S.B. & Crooks, K.R. (2009) Investigating the distribution of prairie dogs in an urban landscape. Animal Conservation, 12, 192-203.
128;575;AnimCons;2008;Lyet;3;24;2003-2004;2;France;Local;France;Vipera ursinii;Vertebrates;Population;Ecological processes;Quasi experimental;2;0;0;1;1;1;"The aim of our study was to estimate the impact of
prescribed fire on the survival and small-scale movements
of a highly endangered snake, the Orsini’s viper Vipera
ursinii. We first expected fire to increase the mortality
of the viper, either by direct and short-term impact, or by
delayed effects. Furthermore, the degradation of ecological
conditions after fire may induce a post-fire emigration from
burned to unburned areas";DB;Lyet, A., Cheylan, M., Prodon, R. & Besnard, A. (2009) Prescribed fire and conservation of a threatened mountain grassland specialist: a capture-recapture study on the Orsini's viper in the French alps. Animal Conservation, 12, 238-248.
109;708;AnimCons;2007;Reed;2;52;2002-2004;3;USA;Landscape;USA;Rabidosa;Invertebrates;Population;Ecological processes;Non experimental;0;0;0;0;2;2;"We were interested in
finding in whether the mean fitness (genetic quality) of
individuals impacts the realized population growth rate
despite density-dependent population dynamics.";DB;Reed, D.H., Nicholas, A.C. & Stratton, G.E. (2007) Genetic quality of individuals impacts population dynamics. Animal Conservation, 10, 275-283.
96;718;AnimCons;2007;López-López;4;27;2000-2005;6;Spain;Landscape;Spain;Aquila chrysaetos;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;0;0;"We use a
multi-scale modelling approach to identify nesting habitat
preferences of a population of golden eagles in the east of
the Iberian Peninsula";DB;Lopez-Lopez, P., Garcia-Ripolles, C., Soutullo, A., Cadahia, L. & Urios, V. (2007) Identifying potentially suitable nesting habitat for golden eagles applied to 'important bird areas' design. Animal Conservation, 10, 208-218.
49;818;AnimCons;2005;Dzialak;4;13;2001-2003;3;USA;Landscape;USA;Falco peregrinus;Vertebrates;Population;Ecological processes;Non experimental;1;0;0;0;1;1;The objective of this study was to compare dispersal initiation by peregrines reintroduced in two landscapes specifically chosen for their contrasting habitat configurations and to evaluate landscape influences on dispersal.;EBN;Dzialak, M.R., Lacki, M.J., Larkin, J.L., Carter, K.M. & Vorisek, S. (2005) Corridors affect dispersal initiation in reintroduced peregrine falcons. Animal Conservation, 8, 421-430.
52;825;AnimCons;2005;Larsen;1;17;NA;NA;Africa sub-sahara;Regional;Denmark;Mammalia;Vertebrates;Community;Methods;Non experimental;0;0;0;0;2;2;"Here we test the higher-taxon approach for the continental
identification of priority areas for conservation
by assessing performance in providing species coverage
by priority areas on the basis of genus- and family-level
data of sub-Saharan African mammals at the 1? latitude–
longitude grid-cell scale. We also test the influence of
varying grain size by performing conservation analyses
on the same data set compiled with a grain size of 1?,
2? and 4? latitude–longitude grid-cell scale (subsequently
referred to as the 1?, 2? and 4? grain sizes). The areas of
these grain sizes are equivalent to the areas of the selection
units used by several continental and global conservation
schemes (see Burgess et al., 2002) such as endemic bird
areas (Stattersfield et al., 1998), biologically distinctive
ecoregions (Olson et al., 2001), which probably also are
the only spatial scales where higher-taxon data for nonvertebrates
realistically can be acquired for continents.";EBN;Larsen, F.W. & Rahbek, C. (2005) The influence of spatial grain size on the suitability of the higher-taxon approach in continental priority-setting. Animal Conservation, 8, 389-396.
22;828;AnimCons;2005;Phillips;1;33;1935-2004;70;Australia;Country;Australia;Bufo marinus;Vertebrates;Population;Ecological processes;Non experimental;0;0;0;0;0;0;Here we examine changes in these two aspects of toad morphology, body size and relative parotoid size, as a consequence of time since colonisation.;EBN;Phillips, B.L. & Shine, R. (2005) The morphology, and hence impact, of an invasive species (the cane toad, Bufo marinus): changes with time since colonisation. Animal Conservation, 8, 407-413.
126;949;Biodiv&Cons;2011;Bacaro;5;14;2000-2006;7;Italy;Landscape;Italy;Aves;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;1;2;"The aim of this article is twofold: (i) to describe
the spatial patterns of bird species richness and (ii) to identify those environmental factors
underlying these patterns";DB;Bacaro, G., Santi, E., Rocchini, D., Pezzo, F., Puglisi, L. & Chiarucci, A. (2011) Geostatistical modelling of regional bird species richness: exploring environmental proxies for conservation purpose. Biodiversity and Conservation, 20, 1677-1694.
50;2408;Biodiv&Cons;2005;Burke;0;3;1999-2001;3;Namibia;Landscape;Namibia;Plantea;Plants;Community;Natural history;Non experimental;0;0;0;0;0;0;"This paper investigates three main questions:
Are there differences between vegetation types on mountain tops and what is the composition of mountain top vegetation?
Do rare species affect the floristic relationship between mountain tops? and
What are the likely factors determining the vegetation on mountain tops?";EBN;Burke, A. (2005) Vegetation types of mountain tops in Damaraland, Namibia. Biodiversity and Conservation, 14, 1487-1506.
54;1701;Biodiv&Cons;2008;Buscardo;7;35;2002-2004;3;Ireland;Country;Ireland;Grasses;Plants;Community;Ecological processes;Non experimental;0;0;0;0;1;1;Given recent increases in the rate of afforestation, the paucity of previous studies and the potential for significant biodiversity loss, there is a need for research to determine the effects of land use change from grassland to coniferous plantation forest. The objective of this study was to investigate the effects of afforestation on the composition and structure of species assemblages and the relationships of the changes observed with ecological and management factors. The patterns of variation in biodiversity and soil properties were assessed in 16 recently afforested sites and 16 non-afforested equivalent habitats in two vegetation types, improved grasslands and unimproved wet grasslands.;EBN;Buscardo, E., Smith, G.F., Kelly, D.L., Freitas, H., Iremonger, S., Mitchell, F.J.G., O'Donoghue, S. & Mckee, A.M. (2008) The early effects of afforestation on biodiversity of grasslands in Ireland. Biodiversity and Conservation, 17, 1057-1072.
98;1370;Biodiv&Cons;2009;Caplat;1;13;1995-2003;9;France;Landscape;France;Birds;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;2;2;"The aim of the present paper is twofold: (1) to test the existence of a fragmentation
effect on the Grands Causses grassland birds and (2) to assess the difference in sensitivity
to fragment area between individual bird species";DB;Caplat, P. & Fonderflick, J. (2009) Area mediated shifts in bird community composition: a study on a fragmented Mediterranean grassland. Biodiversity and Conservation, 18, 2979-2995.
4;970;Biodiv&Cons;2011;Drossiart;6;8;NA;NA;Cameroon;Country;France;Orchidaceae & Rubiaceae (plants);Plants;Community;Natural history;Non experimental;0;0;0;0;0;0;"This study compares the geographical distribution of Orchidaceae and Rubiaceae taxa
endemic to Atlantic Central Africa present in Cameroon, addressing the following questions.
(i) Do these two families display differing endemism patterns regarding species
richness variation and species turnover in Cameroon? In other words, do their contrasting
life forms and dispersal abilities affect their distribution patterns? (ii) What are the main environmental gradients and/or biogeographic barriers that might explain the distribution
of plant endemism in Cameroon? By comparing the distribution of Orchidaceae and
Rubiaceae at different geographical scales, we explored several factors that could explain
trends observed in endemism patterns. (iii) What are the areas in Cameroon that need more
and detailed inventory work in the future? The information presented in this paper will also
contribute to a better understanding of the biodiversity of Central African ecosystems and
an improved framework for prioritizing conservation and sampling efforts by pointing out
high diversity areas that still remain poorly explored to date.";EBN;Droissart, V., Sonke, B., Hardy, O.J., Simo, M., Taedoumg, H., Nguembou, C.K. & Stevart, T. (2011) Do plant families with contrasting functional traits show similar patterns of endemism? A case study with Central African Orchidaceae and Rubiaceae. Biodiversity and Conservation, 20, 1507-1531.
53;2416;Biodiv&Cons;2005;Duckworth;4;16;NA;NA;Indochina;Regional;UK;Felis chaus;Vertebrates;Population;Natural history;Non experimental;0;0;0;0;0;0;This paper details the recent and historical records, and analyses the species’s regional conservation status.;EBN;Duckworth, J.W., Poole, C.M., Tizard, R.J., Walston, J.L. & Timmins, R.J. (2005) The Jungle Cat Felis chaus in Indochina: a threatened population of a widespread and adaptable species. Biodiversity and Conservation, 14, 1263-1280.
105;1547;Biodiv&Cons;2008;Galvánek;1;21;2008;1;Slovakia;Local;Slovakia;Plants;Plants;Community;Ecological processes;Experimental;0;0;0;0;1;1;"In the present study, we aimed to answer the following questions. (1) How does species
richness change in traditionally managed meadows after abandonment, and in abandoned
meadows after re-enactment of traditional management? (2) What is the relationship
3244 Biodivers Conserv (2008) 17:3241–3253
1 C
between the speed of both processes? (3) Are there diVerences between dry and wet meadows.
(4) Do the results depend on the spatial scale at which the species richness is
observed?";DB;Galvanek, D. & Leps, J. (2008) Changes of species richness pattern in mountain grasslands: abandonment versus restoration. Biodiversity and Conservation, 17, 3241-3253.
95;902;Biodiv&Cons;2011;Gonmadje;6;12;NA;NA;Cameroon;Landscape;Cameroon;Plants;Plants;Community;Natural history;Non experimental;0;0;0;0;0;0;"We assessed tree species diversity, floristic composition and level of endemism of the
Ngovayang forest, comparing it with other sites in Central Africa.";DB;Gonmadje, C.F., Doumenge, C., McKey, D., Tchouto, G.P.M., Sunderland, T.C.H., Balinga, M.P.B. & Sonke, B. (2011) Tree diversity and conservation value of Ngovayang's lowland forests, Cameroon. Biodiversity and Conservation, 20, 2627-2648.
112;1194;Biodiv&Cons;2010;Kati;6;21;2001;1;Greece;Landscape;Greece;Plants, Orthopterans, Herpetofauna, Birds;Mixed;Community;Methods;Non experimental;1;1;0;1;2;2;"In the present paper we
introduce a novel approach: we define ecological heterogeneity in a standard and explicit
way at horizontal and vertical dimension and we test its efficiency as an alternative
species-free tool in conservation planning, using two techniques (scoring and complementary
method)";DB;Kati, V., Poirazidis, K., Dufrene, M., Halley, J.M., Korakis, G., Schindler, S. & Dimopoulos, P. (2010) Towards the use of ecological heterogeneity to design reserve networks: a case study from Dadia National Park, Greece. Biodiversity and Conservation, 19, 1585-1597.
62;1348;Biodiv&Cons;2009;Lovell;3;30;2002-2005;4;South-Africa;Landscape;South-Africa;Invertebrates;Invertebrates;Community;Methods;Non experimental;0;0;0;0;1;2;"This study aimed to validate the potential contribution of volunteers for surveys of
terrestrial invertebrates by addressing the following objectives: (1) to assess the effectiveness of volunteers in sampling invertebrates relative to experienced researchers by contrasting quantitative sampling (the number of species) and qualitative sampling (unique
species, rare species and species assemblages), (2) to identify which qualities make volunteers
valuable to field researchers, (3) to investigate changes in perceptions among volunteers as a result of their participation in the expedition by pre-and post sampling questionnaires, (4) to examine time benefits associated with the use of volunteer teams to carry out comprehensive invertebrate surveys, and (5) to provide guidelines for the use of volunteers for invertebrate surveys.";EBN;Lovell, S., Hamer, M., Slotow, R. & Herbert, D. (2009) An assessment of the use of volunteers for terrestrial invertebrate biodiversity surveys. Biodiversity and Conservation, 18, 3295-3307.
56;827;Biodiv&Cons;2012;Mortensen;1;2;2007;1;Nicaragua;Landscape;Denmark;Trees;Plants;Community;Methods;Non experimental;0;0;0;0;1;1;"In this paper, we contrast classical plot sampling with a participatory method (hunter effectiveness (HE) interviews) in relation to their relative cost-effectiveness and usability. The methods are aimed for monitoring biodiversity, following the implementation of forest project by Nepenthes (Danish NGO) and the Institute for Development and Democracy (IPADE by Spanish initials) in the Autonomic Region of the North Atlantic (RAAN by
Spanish initials).";EBN;Mortensen, L.O. & Jensen, M.B. (2012) Methods in sustainable monitoring: plot sampling versus interviews. Biodiversity and Conservation, 21, 145-153.
20;1681;Biodiv&Cons;2008;Pickering;2;32;2004;1;Australia;Landscape;Australia;Plantae;Plants;Community;Ecological processes;Non experimental;0;0;0;0;0;0;The aim of this paper is to determine how species richness at diVerent spatial scales changed along an altitudinal gradient and horizontal gradient (aspects on each summit). Therefore patterns of richness were examined, to see if the eVect of altitude and aspect depended on the spatial scale at which species richness was measured. We also examined if there were correlations in species richness at the diVerent spatial scales with climate variables. Patterns in richness of diVerent groups of species for whole summits including endemics, generalists and weed species richness were examined.;EBN;Pickering, C., Hill, W. & Green, K. (2008) Vascular plant diversity and climate change in the alpine zone of the Snowy Mountains, Australia. Biodiversity and Conservation, 17, 1627-1644.
87;483;Biodiv&Cons;2013;Pipenbaher;3;6;2009-2010;2;Slovenia;Regional;Slovenia;Plants;Plants;Community;Ecological processes;Non experimental;0;0;0;0;1;1;"We examined floristic
composition, functional trait structure and threatened species occurrence in grasslands of
this type from in two distinct biogeographic regions. In this study we will use the dry calcareous grassland florae of two contrasting floristic
regions to test the relationship between plant traits related to plant ecology strategy and
rarity at multiple levels";DB;Pipenbaher, N., Kaligaric, M., Mason, N.W.H. & Skornik, S. (2013) Dry calcareous grasslands from two neighboring biogeographic regions: relationship between plant traits and rarity. Biodiversity and Conservation, 22, 2207-2221.
30;2398;Biodiv&Cons;2005;Sanchez-Zapata;6;38;2002;1;Spain;Landscape;Spain;Aves;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;0;1;"Some of the studies mentioned above point out the relationships between pond attributes and the abundance and diversity of different organisms. Thus, as new irrigation facilities seem to be rowing and Common Agriculture Policies need to be pdated to conceal agriculture funds with biodiversity conservation
(Beaufoy 1998), and considering that studies on the value of artificial
ponds in Spain are lacking, the following questions were addressed:
1. What species of waterbird make use of artificial ponds in southeastern
Spain?
2. Are there pond attributes that explain the abundance and diversity of
waterbirds?
3. Is there an optimal engineering design to conceal irrigation use and
waterbird conservation?";EBN;Sanchez-Zapata, J.A., Anadon, J.D., Carrete, M., Gimenez, A., Navarro, J., Villacorta, C. & Botella, F. (2005) Breeding waterbirds in relation to artificial pond attributes: implications for the design of irrigation facilities. Biodiversity and Conservation, 14, 1627-1639.
146;1889;Biodiv&Cons;2007;Scheldeman;13;22;NA;NA;latin America;Regional;Colombia;Vasconcellea;Plants;"Population; Community";Natural history;Non experimental;0;0;0;0;0;0;"The main objectives of the presented study were: (1) to summarize the distribution
of all 21 Vasconcellea species using collection data as well as herbarium specimen
data; (2) to identify areas of high diversity and (3) collection gaps; and (4) to
describe climatic and altitude preferences for Vasconcellea species";DB;Scheldeman, X., Willemen, L., d'Eeckenbrugge, G.C., Romeijn-Peeters, E., Restrepo, M.T., Motoche, J.R., Jimenez, D., Lobo, M., Medina, C.I., Reyes, C., Rodriguez, D., Ocampo, J.A., Van Damme, P. & Goetgebeur, P. (2007) Distribution, diversity and environmental adaptation of highland papayas (Vasconcellea spp.) in tropical and subtropical America. Biodiversity and Conservation, 16, 1867-1884.
150;1522;Biodiv&Cons;2009;Schneider;1;10;2006;1;Australia;Landscape;Germany;Aves;Vertebrates;Community;Ecological processes;Non experimental;1;0;0;0;1;1;"Here, we investigate the relationships between avian species richness and water availability
in arid central-eastern Australia, in the north-western part of New South Wales. Our
aim is to investigate the relative importance of diVerent water regimes and their associated
vegetation on avian species richness and to outline their potential value for the conservation
of bird diversity.";DB;Schneider, N.A. & Griesser, M. (2009) Influence and value of different water regimes on avian species richness in arid inland Australia. Biodiversity and Conservation, 18, 457-471.
42;1290;Biodiv&Cons;2010;Sulawa;4;14;1991-2005;15;Germany;Country;Germany;Haliaeetus albicilla;Vertebrates;Population;Natural history;Non experimental;0;0;0;0;0;0;"The collection of demographic data from nest monitoring, individual marking and
recovery of dead individuals for the German white-tailed eagle population over a 15-year period after the establishment of a conservation plan (the ban of the DDT) allowed us to (1) estimate current survival and fecundity rates and compare them with other non endangered and endangered raptor populations, (2) assess the trend and temporal variation in these rates and the respective roles of environmental stochasticity and regulation, (3) perform average term projections of population dynamics, assess future viability, as well as, the success of conservation measures in removing the main causes of decline.";EBN;Sulawa, J., Robert, A., Koppen, U., Hauff, P. & Krone, O. (2010) Recovery dynamics and viability of the white-tailed eagle (Haliaeetus albicilla) in Germany. Biodiversity and Conservation, 19, 97-112.
131;276;Biodiv&Cons;2014;Velho;3;1;1989-2012;24;India;Landscape;Australia;Plants;Plants;Community;Ecological processes;Non experimental;1;0;0;0;1;0;"We assessed potential links between ethno-civil strife and forest loss over a two-decade
period in areas adjoining two internationally important tiger reserves in northeastern India";DB;Velho, N., Agarwala, M., Srinivasan, U. & Laurance, W.F. (2014) Collateral damage: impacts of ethno-civil strife on biodiversity and natural resource use near Indian nature reserves. Biodiversity and Conservation, 23, 2515-2527.
135;1737;Biodiv&Cons;2008;Watanabe;1;6;NA;NA;Borneo/Java;Regional;Japan;Rattans;Plants;Community;Ecological processes;Non experimental;0;0;0;0;0;1;"The purpose of this study was to clarify the patterns of species diversity, abundance, and
vertical size structure of rattan species by comparison among diVerent forest types";DB;Watanabe, N.M. & Suzuki, E. (2008) Species diversity, abundance, and vertical size structure of rattans in Borneo and Java. Biodiversity and Conservation, 17, 523-538.
48;1114;Biodiv&Cons;2010;Zagmajster;3;9;NA;NA;Balkan;Regional;Slovenia;Coleoptera;Invertebrates;Community;Methods;Non experimental;0;0;0;0;1;1;"The primary aim of this study is to evaluate the observed pattern of subterranean beetle species richness, adjusted for the effect of incomplete, biased sampling. We also investigate where additional species would be expected. To address these issues we propose the approach of
combining different analytical methods.";EBN;Zagmajster, M., Culver, D.C., Christman, M.C. & Sket, B. (2010) Evaluating the sampling bias in pattern of subterranean species richness: combining approaches. Biodiversity and Conservation, 19, 3035-3048.
51;850;BiolCons;2013;Benson;3;10;2002-2011;10;Canada;Landscape;Canda;"Canis lycaon; Canis latrans; Canis lupus";Vertebrates;Population;Ecological processes;Non experimental;3;0;0;1;1;1;"Broadly, our objective was to investigate intrinsic and extrinsic influences on first-year survival and cause-specific mortality of wolf, coyote, and hybrid
pups. Specifically, we: (1) investigated spatial variation in pup survival
across both protected and unprotected portions of the Canis
hybrid zone; (2) determined genetic ancestry of pups and compared
mortality risk and survival rates of hybrid and parental type wolves and coyotes; (3) evaluated the influence of prey availability
and human disturbance (i.e. roads) on mortality risk; and (4) modeled
and estimated mortality from competing risks to identify
environmental or genetic variables associated with specific causes
of death. We hypothesized that availability of food resources in
APP would be the primary factor driving Canis demography, including
pup survival, consistent with previous studies of wolves in
protected areas (Mech, 1977; Fuller et al., 2003). Specifically, we
predicted that areas of relatively low prey availability in APP
(e.g., western APP; see details in Section 2) would result in lower
pup survival.";EBN;Benson, J.F., Mills, K.J., Loveless, K.M. & Patterson, B.R. (2013) Genetic and environmental influences on pup mortality risk for wolves and coyotes within a Canis hybrid zone. Biological Conservation, 166, 133-141.
